Time,Q1,Q2,Q3,Q4,Q5,Q6,dQ1,dQ2,dQ3,dQ4,dQ5,dQ6,TCPx,TCPy,TCPz
0,-0.398373575269964,-1.51728023660713,-1.99662116098625,-0.9781578546891,1.09184746139209,1.11842152194617,0,0,0,0,0,0,-0.318600005021444,0.407999994518938,0.15140000356232
0.02,-0.404068306878746,-1.52251135554452,-1.99048350861165,-0.976184077434966,1.09310005609596,1.1121639467996,-0.474118427460775,-0.436265647031434,0.512431497672276,0.16348622434459,0.104508938997668,-0.520864329549213,-0.319165521093506,0.410937924433527,0.152110348382244
0.04,-0.40971159263979,-1.52774803326425,-1.98429940703117,-0.974287820898647,1.09435709061352,1.10597096190639,-0.195877343061575,-0.184133146633566,0.219224687235948,0.0631372926181616,0.044333110925336,-0.214596909834297,-0.319731037908558,0.413875855441533,0.152820692968923
0.06,-0.415303873068751,-1.53299016295648,-1.97806901151695,-0.972468626708418,1.09561816228083,1.09984192209644,-0.315074098093908,-0.295871406778966,0.352051934320319,0.10189203783871,0.0711941792724424,-0.345238597100208,-0.32029655470636,0.416813786475527,0.153531037521196
0.08,-0.42084559558984,-1.53823765655546,-1.97179246264686,-0.97072602939401,1.09688288807008,1.09377618165156,-0.260010248541308,-0.24802244013384,0.298018732275821,0.079687010590716,0.0598557355864913,-0.284324689646532,-0.320862071515557,0.419751717560665,0.154241382044692
0.1,-0.426337211435889,-1.54349044983898,-1.96546987686033,-0.969059578939942,1.09815089529369,1.08777311172261,-0.280147231047627,-0.269008051224493,0.324580828459657,0.0838107802076035,0.0649686605375237,-0.3060860816186,-0.321427588193626,0.422689649855782,0.154951726662716
0.12,-0.431779164609548,-1.54874846246925,-1.95910140756569,-0.96746875307384,1.0994218287896,1.08183202622015,-0.267930605784531,-0.260344403924954,0.316423658165115,0.0766331165727015,0.0629715814820965,-0.292291782921407,-0.321993105127096,0.42562758110464,0.155662071197795
0.14,-0.437171905923489,-1.55401164554351,-1.95268717109366,-0.965953063752977,1.10069534335504,1.07595227408732,-0.269677203179514,-0.264444698031569,0.323209044544365,0.0743547014759253,0.0640110488197307,-0.293852310028758,-0.322558622346806,0.428565511262547,0.156372415591849
0.16,-0.442515888231675,-1.5592799883017,-1.9462272354489,-0.964512081024937,1.10197109308034,1.07013325008938,-0.265443859255225,-0.263047618140565,0.323554347035299,0.069999831575025,0.0637188493148284,-0.288846433571025,-0.323124139466472,0.431503442626304,0.157082760156192
0.18,-0.447811559788242,-1.56455345760729,-1.93972171266671,-0.963145289302598,1.10324875671799,1.06437428458681,-0.263817411435456,-0.26401582847002,0.326665437254292,0.0665748023181012,0.0639769997971589,-0.286714938777318,-0.323689656659369,0.434441374023532,0.157793104765532
0.2,-0.453059369814994,-1.56983204493498,-1.9331706861808,-0.961852200633922,1.10452801837026,1.05867473179444,-0.261100666574696,-0.263964885761482,0.328579324550485,0.0627851368503506,0.0639759023785645,-0.283392490192865,-0.32425517388576,0.4373793054335,0.158503449414386
0.22,-0.458259768176808,-1.57511575131939,-1.92657423287203,-0.960632318847346,1.10580857549299,1.05303394294123,-0.258885492153145,-0.264353548691385,0.331004361139025,0.0591863704245619,0.064064679864054,-0.280628236708464,-0.324820691139915,0.440317236842952,0.159213794101323
